index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.5333333333333333,0.12018504251546629
1,daily,direction,baseline_logistic,1,f1,0.4641041268222194,0.1923045838753043
2,daily,direction,baseline_logistic,1,precision,0.5272222222222223,0.1498507487921907
3,daily,direction,baseline_logistic,1,recall,0.4403418803418804,0.2633133451691618
4,daily,direction,baseline_logistic,1,roc_auc,0.5949976537623597,0.09721590168141311
5,daily,direction,baseline_logistic,3,accuracy,0.52,0.1260511360079269
6,daily,direction,baseline_logistic,3,f1,0.2866666666666667,0.30806248445902296
7,daily,direction,baseline_logistic,3,precision,0.28947368421052627,0.303488489333442
8,daily,direction,baseline_logistic,3,recall,0.3236111111111111,0.3562574452330093
9,daily,direction,baseline_logistic,3,roc_auc,0.5680489710094974,0.10834726764063862
10,daily,direction,baseline_logistic,7,accuracy,0.49333333333333335,0.13207741837439302
11,daily,direction,baseline_logistic,7,f1,0.33555555555555555,0.27559139551871104
12,daily,direction,baseline_logistic,7,precision,0.5048571428571429,0.39112031657894775
13,daily,direction,baseline_logistic,7,recall,0.45339366515837104,0.44770548793490184
14,daily,direction,baseline_logistic,7,roc_auc,0.6377158845701045,0.09723590909708625
15,daily,direction,baseline_prev_bar,1,accuracy,0.45999999999999996,0.03651483716701107
16,daily,direction,baseline_prev_bar,1,f1,0.4626259184657405,0.08490888301529662
17,daily,direction,baseline_prev_bar,1,precision,0.46043233082706764,0.08339834956902471
18,daily,direction,baseline_prev_bar,1,recall,0.4658119658119658,0.08949497512963027
19,daily,direction,baseline_prev_bar,1,roc_auc,0.453298139768728,0.031609622758276244
20,daily,direction,baseline_prev_bar,3,accuracy,0.4666666666666667,0.03333333333333333
21,daily,direction,baseline_prev_bar,3,f1,0.43709284118821284,0.12316041386886119
22,daily,direction,baseline_prev_bar,3,precision,0.42490601503759395,0.1536130949540956
23,daily,direction,baseline_prev_bar,3,recall,0.4641934046345811,0.10467764090895569
24,daily,direction,baseline_prev_bar,3,roc_auc,0.4613814526546725,0.040493978942103694
25,daily,direction,baseline_prev_bar,7,accuracy,0.4533333333333333,0.0557773351022717
26,daily,direction,baseline_prev_bar,7,f1,0.4248847926267281,0.09870180405038352
27,daily,direction,baseline_prev_bar,7,precision,0.4088345864661654,0.12399249123354097
28,daily,direction,baseline_prev_bar,7,recall,0.45802197802197797,0.07638961540561946
29,daily,direction,baseline_prev_bar,7,roc_auc,0.44438248878146575,0.049167475549241856
30,daily,direction,mvp_xgboost,1,accuracy,0.58,0.044721359549995815
31,daily,direction,mvp_xgboost,1,f1,0.4851431023337717,0.21348008347344835
32,daily,direction,mvp_xgboost,1,precision,0.6821678321678322,0.18608911157446695
33,daily,direction,mvp_xgboost,1,recall,0.4606837606837607,0.24519787063313053
34,daily,direction,mvp_xgboost,1,roc_auc,0.6616482319423496,0.1520784421413426
35,daily,direction,mvp_xgboost,3,accuracy,0.5933333333333334,0.12560962454277852
36,daily,direction,mvp_xgboost,3,f1,0.6154825566590272,0.11555826625491368
37,daily,direction,mvp_xgboost,3,precision,0.5590828190370525,0.15230336528858346
38,daily,direction,mvp_xgboost,3,recall,0.707464349376114,0.07051982395412791
39,daily,direction,mvp_xgboost,3,roc_auc,0.6495899897602684,0.14776164074847456
40,daily,direction,mvp_xgboost,7,accuracy,0.5933333333333334,0.06831300510639732
41,daily,direction,mvp_xgboost,7,f1,0.5106990622335891,0.19818464581218034
42,daily,direction,mvp_xgboost,7,precision,0.6103448275862069,0.262949884994627
43,daily,direction,mvp_xgboost,7,recall,0.5697048049989226,0.3186883479927589
44,daily,direction,mvp_xgboost,7,roc_auc,0.7215133669967428,0.05297280426975938
45,daily,interval,mvp_xgboost_quantile,1,coverage,0.7066666666666667,0.09831920802501753
46,daily,interval,mvp_xgboost_quantile,1,interval_width,0.021802414581179617,0.002484543746443592
47,daily,interval,mvp_xgboost_quantile,3,coverage,0.7133333333333334,0.12156388352540315
48,daily,interval,mvp_xgboost_quantile,3,interval_width,0.03116714209318161,0.00301942192593442
49,daily,interval,mvp_xgboost_quantile,7,coverage,0.6666666666666666,0.10274023338281628
50,daily,interval,mvp_xgboost_quantile,7,interval_width,0.04038401246070862,0.0015390872886020212
51,daily,magnitude,baseline_zero,1,mae,0.007624253816138821,0.0007326540576546337
52,daily,magnitude,baseline_zero,1,rmse,0.00964490746497078,0.000767551680575701
53,daily,magnitude,baseline_zero,1,sign_accuracy,0.0,0.0
54,daily,magnitude,baseline_zero,3,mae,0.011862020944209337,0.002940145273616652
55,daily,magnitude,baseline_zero,3,rmse,0.014883565291402733,0.003494038736680844
56,daily,magnitude,baseline_zero,3,sign_accuracy,0.0,0.0
57,daily,magnitude,baseline_zero,7,mae,0.016892107410121808,0.0038732421998445596
58,daily,magnitude,baseline_zero,7,rmse,0.020036403151015358,0.004683625769916138
59,daily,magnitude,baseline_zero,7,sign_accuracy,0.0,0.0
60,daily,magnitude,mvp_xgboost_quantile_q50,1,mae,0.007598057589850752,0.0009316989552044985
61,daily,magnitude,mvp_xgboost_quantile_q50,1,rmse,0.009602814264432543,0.0008961252959767862
62,daily,magnitude,mvp_xgboost_quantile_q50,1,sign_accuracy,0.5199999999999999,0.1192569587999888
63,daily,magnitude,mvp_xgboost_quantile_q50,3,mae,0.010884660220556059,0.003049498021530178
64,daily,magnitude,mvp_xgboost_quantile_q50,3,rmse,0.013594662754785566,0.0032380074863313352
65,daily,magnitude,mvp_xgboost_quantile_q50,3,sign_accuracy,0.6533333333333333,0.05577733510227168
66,daily,magnitude,mvp_xgboost_quantile_q50,7,mae,0.014209045403290025,0.0022072252250936045
67,daily,magnitude,mvp_xgboost_quantile_q50,7,rmse,0.017171230020457767,0.002500770350645408
68,daily,magnitude,mvp_xgboost_quantile_q50,7,sign_accuracy,0.6933333333333334,0.05477225575051665
69,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.1,0.0018098505279693033,0.0003013063451341376
70,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.5,0.003799028794925376,0.00046584947760224926
71,daily,magnitude_quantile,mvp_xgboost_quantile,1,pinball_q0.9,0.0017956590968840082,0.0002227556436608902
72,daily,magnitude_quantile,mvp_xgboost_quantile,3,pinball_q0.1,0.00267167723441964,0.0012057493360992353
73,daily,magnitude_quantile,mvp_xgboost_quantile,3,pinball_q0.5,0.005442330110278029,0.001524749010765089
74,daily,magnitude_quantile,mvp_xgboost_quantile,3,pinball_q0.9,0.0028116260115823395,0.0008091347597519312
75,daily,magnitude_quantile,mvp_xgboost_quantile,7,pinball_q0.1,0.0034641896283784473,0.0010678998001799208
76,daily,magnitude_quantile,mvp_xgboost_quantile,7,pinball_q0.5,0.007104522701645012,0.0011036126125468023
77,daily,magnitude_quantile,mvp_xgboost_quantile,7,pinball_q0.9,0.0033977964299544286,0.0013005602056315115
78,daily,start_window,baseline_most_freq,max,macro_f1,0.13185402530717036,0.015489680823882412
79,daily,start_window,baseline_most_freq,max,top1_accuracy,0.36,0.05477225575051662
80,daily,start_window,baseline_most_freq,max,top2_accuracy,0.6466666666666667,0.06912147117775906
81,daily,start_window,mvp_xgboost,max,macro_f1,0.22237465681900961,0.03640280844883747
82,daily,start_window,mvp_xgboost,max,top1_accuracy,0.31999999999999995,0.050552502960343665
83,daily,start_window,mvp_xgboost,max,top2_accuracy,0.6399999999999999,0.04944132324730441
84,hourly,direction,baseline_logistic,1,accuracy,0.5050000000000001,0.02862594006219611
85,hourly,direction,baseline_logistic,1,f1,0.5003935887001809,0.15752808999867313
86,hourly,direction,baseline_logistic,1,precision,0.5106824910746479,0.05347512751702333
87,hourly,direction,baseline_logistic,1,recall,0.5677170905142217,0.31243111374733734
88,hourly,direction,baseline_logistic,1,roc_auc,0.5039661307536453,0.052546558873274855
89,hourly,direction,baseline_logistic,2,accuracy,0.5466666666666666,0.024008100484813232
90,hourly,direction,baseline_logistic,2,f1,0.5794238580113641,0.09049069163885878
91,hourly,direction,baseline_logistic,2,precision,0.5575314433299889,0.04763804760717356
92,hourly,direction,baseline_logistic,2,recall,0.6502131402681284,0.23781142400158412
93,hourly,direction,baseline_logistic,2,roc_auc,0.5240300009166206,0.049453430232836035
94,hourly,direction,baseline_logistic,4,accuracy,0.5866666666666667,0.07279155933974152
95,hourly,direction,baseline_logistic,4,f1,0.583605181536216,0.14385907504407944
96,hourly,direction,baseline_logistic,4,precision,0.5860075271349781,0.04131177263576232
97,hourly,direction,baseline_logistic,4,recall,0.6440226928362522,0.2930843759531531
98,hourly,direction,baseline_logistic,4,roc_auc,0.5836919621912658,0.050213536957166204
99,hourly,direction,baseline_prev_bar,1,accuracy,0.5066666666666666,0.02725904538966019
100,hourly,direction,baseline_prev_bar,1,f1,0.509341855251208,0.04283075148708061
101,hourly,direction,baseline_prev_bar,1,precision,0.5092500689274883,0.04166105764797473
102,hourly,direction,baseline_prev_bar,1,recall,0.5094607578214135,0.044189055660341585
103,hourly,direction,baseline_prev_bar,1,roc_auc,0.5040053922166535,0.027273791448104254
104,hourly,direction,baseline_prev_bar,2,accuracy,0.5483333333333333,0.02457980200625437
105,hourly,direction,baseline_prev_bar,2,f1,0.5549562167167036,0.03202558175309237
106,hourly,direction,baseline_prev_bar,2,precision,0.5595553192327386,0.03086427013767314
107,hourly,direction,baseline_prev_bar,2,recall,0.5512592199630691,0.04119164048423389
108,hourly,direction,baseline_prev_bar,2,roc_auc,0.5463335428503135,0.025356504455677376
109,hourly,direction,baseline_prev_bar,4,accuracy,0.5283333333333333,0.024720661623652263
110,hourly,direction,baseline_prev_bar,4,f1,0.5299994270019399,0.04754325939612733
111,hourly,direction,baseline_prev_bar,4,precision,0.5319390287132222,0.0750450879100026
112,hourly,direction,baseline_prev_bar,4,recall,0.5327469229901065,0.0492953749116574
113,hourly,direction,baseline_prev_bar,4,roc_auc,0.5260432966422269,0.02699906419279278
114,hourly,direction,mvp_xgboost,1,accuracy,0.4883333333333333,0.030390970881350822
115,hourly,direction,mvp_xgboost,1,f1,0.5125919187553585,0.05425399450409878
116,hourly,direction,mvp_xgboost,1,precision,0.4935340328202621,0.050367135046472326
117,hourly,direction,mvp_xgboost,1,recall,0.5393029784423227,0.08440764037347931
118,hourly,direction,mvp_xgboost,1,roc_auc,0.4806738827964899,0.0340288722717613
119,hourly,direction,mvp_xgboost,2,accuracy,0.49333333333333335,0.035059473279937754
120,hourly,direction,mvp_xgboost,2,f1,0.49094749537797455,0.10149976412908131
121,hourly,direction,mvp_xgboost,2,precision,0.5009854967132145,0.05657043134984856
122,hourly,direction,mvp_xgboost,2,recall,0.49816787559128484,0.16242758967486368
123,hourly,direction,mvp_xgboost,2,roc_auc,0.5062137549629979,0.05193973161705171
124,hourly,direction,mvp_xgboost,4,accuracy,0.5349999999999999,0.04425306015783917
125,hourly,direction,mvp_xgboost,4,f1,0.5105081414315369,0.15076796827946864
126,hourly,direction,mvp_xgboost,4,precision,0.532479789901128,0.15916787891984982
127,hourly,direction,mvp_xgboost,4,recall,0.5143063757595814,0.1914447488752228
128,hourly,direction,mvp_xgboost,4,roc_auc,0.5269489403935458,0.07825515344644969
129,hourly,interval,mvp_xgboost_quantile,1,coverage,0.7216666666666667,0.0644420497639373
130,hourly,interval,mvp_xgboost_quantile,1,interval_width,0.021884412318468095,0.001838952417506977
131,hourly,interval,mvp_xgboost_quantile,2,coverage,0.6983333333333334,0.08885850175044216
132,hourly,interval,mvp_xgboost_quantile,2,interval_width,0.030714844167232514,0.0014200984776823519
133,hourly,interval,mvp_xgboost_quantile,4,coverage,0.6666666666666667,0.15218318639791398
134,hourly,interval,mvp_xgboost_quantile,4,interval_width,0.04462243765592575,0.005857738861444717
135,hourly,magnitude,baseline_zero,1,mae,0.007860851123172283,0.0006708806710404604
136,hourly,magnitude,baseline_zero,1,rmse,0.009741836446653274,0.0007498882585776996
137,hourly,magnitude,baseline_zero,1,sign_accuracy,0.0,0.0
138,hourly,magnitude,baseline_zero,2,mae,0.011469407862629653,0.0011022239461951615
139,hourly,magnitude,baseline_zero,2,rmse,0.014151591257114505,0.001385117079701943
140,hourly,magnitude,baseline_zero,2,sign_accuracy,0.0,0.0
141,hourly,magnitude,baseline_zero,4,mae,0.017293034644127115,0.0022140371660772395
142,hourly,magnitude,baseline_zero,4,rmse,0.021226467697654537,0.0025475067495150353
143,hourly,magnitude,baseline_zero,4,sign_accuracy,0.0,0.0
144,hourly,magnitude,mvp_xgboost_quantile_q50,1,mae,0.00819499962834217,0.0008981583240704778
145,hourly,magnitude,mvp_xgboost_quantile_q50,1,rmse,0.010122487453722104,0.0009340209383179643
